B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,class
0.0178,0.0181,0.0455,0.0327,0.0862,0.1914,0.2221,0.2164,0.2414,0.2394,0.124,0.0631,forest
0.0178,0.0184,0.0436,0.0314,0.0813,0.1824,0.2097,0.221,0.2341,0.2394,0.1248,0.0658,forest
0.018,0.0233,0.0462,0.0333,0.0856,0.1934,0.2152,0.2226,0.235,0.24,0.1298,0.066,forest
0.0178,0.0189,0.0494,0.0315,0.0862,0.1914,0.2221,0.2326,0.2414,0.2394,0.124,0.0631,forest
0.0178,0.0172,0.0454,0.0283,0.0862,0.1914,0.2221,0.2172,0.2414,0.2394,0.124,0.0631,forest
0.0178,0.0199,0.0428,0.0294,0.0813,0.1824,0.2097,0.2248,0.2341,0.2394,0.1248,0.0658,forest
0.0189,0.019,0.0516,0.0366,0.0935,0.1993,0.2322,0.2288,0.244,0.2411,0.1306,0.07,forest
0.0189,0.0192,0.0488,0.0322,0.0899,0.1932,0.2165,0.236,0.239,0.2411,0.1295,0.0688,forest
0.0189,0.0202,0.0489,0.0357,0.0899,0.1932,0.2165,0.2244,0.239,0.2411,0.1295,0.0688,forest
0.0178,0.0201,0.048,0.0337,0.0848,0.1894,0.2199,0.2164,0.2457,0.2336,0.125,0.0654,forest
0.0178,0.0169,0.0448,0.028,0.0848,0.1894,0.2199,0.2326,0.2457,0.2336,0.125,0.0654,forest
0.0178,0.0151,0.0418,0.0296,0.0822,0.184,0.2111,0.221,0.2317,0.2336,0.1217,0.0648,forest
0.0189,0.0193,0.0491,0.0364,0.0935,0.1993,0.2322,0.233,0.244,0.2411,0.1306,0.07,forest
0.0189,0.0191,0.0536,0.0378,0.0935,0.1993,0.2322,0.2358,0.244,0.2411,0.1306,0.07,forest
0.0189,0.0204,0.0499,0.0359,0.0899,0.1932,0.2165,0.23,0.239,0.2411,0.1295,0.0688,forest
0.0189,0.0195,0.0493,0.0403,0.0899,0.1932,0.2165,0.2132,0.239,0.2411,0.1295,0.0688,forest
0.0178,0.0203,0.0467,0.0343,0.0848,0.1894,0.2199,0.2164,0.2457,0.2336,0.125,0.0654,forest
0.0178,0.0187,0.0458,0.0311,0.0848,0.1894,0.2199,0.232,0.2457,0.2336,0.125,0.0654,forest
0.0178,0.0167,0.0429,0.0298,0.0822,0.184,0.2111,0.2178,0.2317,0.2336,0.1217,0.0648,forest
0.0189,0.0233,0.0505,0.0407,0.0924,0.2008,0.2243,0.2252,0.2475,0.2411,0.1329,0.0698,forest
0.0189,0.021,0.0486,0.0366,0.0924,0.2008,0.2243,0.2248,0.2475,0.2411,0.1329,0.0698,forest
0.0189,0.0168,0.0458,0.0338,0.0932,0.2031,0.2268,0.2216,0.247,0.2411,0.1296,0.0655,forest
0.0189,0.0198,0.0487,0.0339,0.0932,0.2031,0.2268,0.2238,0.247,0.2411,0.1296,0.0655,forest
0.0189,0.0205,0.0444,0.0333,0.0895,0.1936,0.2212,0.2126,0.2343,0.2411,0.1269,0.0648,forest
0.0189,0.0192,0.044,0.0301,0.0895,0.1936,0.2212,0.205,0.2343,0.2411,0.1269,0.0648,forest
0.0178,0.0202,0.0455,0.0312,0.0877,0.1893,0.2174,0.227,0.2454,0.2336,0.125,0.0681,forest
0.0178,0.0206,0.0442,0.0317,0.0877,0.1893,0.2174,0.2284,0.2454,0.2336,0.125,0.0681,forest
0.0178,0.0183,0.0448,0.0314,0.0838,0.189,0.2131,0.217,0.2351,0.2336,0.1282,0.0671,forest
0.0178,0.0154,0.0445,0.0313,0.0838,0.189,0.2131,0.2108,0.2351,0.2336,0.1282,0.0671,forest
0.0197,0.0223,0.0519,0.0359,0.0938,0.1965,0.2276,0.2388,0.2433,0.2407,0.132,0.0721,forest
0.0189,0.0215,0.052,0.0375,0.0924,0.2008,0.2243,0.225,0.2475,0.2411,0.1329,0.0698,forest
0.0189,0.0194,0.0477,0.0351,0.0924,0.2008,0.2243,0.2224,0.2475,0.2411,0.1329,0.0698,forest
0.0189,0.0188,0.0469,0.0313,0.0932,0.2031,0.2268,0.231,0.247,0.2411,0.1296,0.0655,forest
0.0189,0.0201,0.0477,0.0319,0.0932,0.2031,0.2268,0.2388,0.247,0.2411,0.1296,0.0655,forest
0.0189,0.0222,0.0467,0.031,0.0895,0.1936,0.2212,0.2304,0.2343,0.2411,0.1269,0.0648,forest
0.0189,0.0201,0.0487,0.0296,0.0895,0.1936,0.2212,0.2276,0.2343,0.2411,0.1269,0.0648,forest
0.0178,0.0192,0.0464,0.0314,0.0877,0.1893,0.2174,0.226,0.2454,0.2336,0.125,0.0681,forest
0.0178,0.02,0.0452,0.033,0.0877,0.1893,0.2174,0.227,0.2454,0.2336,0.125,0.0681,forest
0.0178,0.0225,0.0505,0.0387,0.0838,0.189,0.2131,0.226,0.2351,0.2336,0.1282,0.0671,forest
0.0178,0.0196,0.0482,0.0348,0.0838,0.189,0.2131,0.2174,0.2351,0.2336,0.1282,0.0671,forest
0.0197,0.022,0.0479,0.0336,0.0921,0.2128,0.2393,0.252,0.2581,0.2407,0.1339,0.0668,forest
0.0197,0.02,0.0572,0.0389,0.099,0.2046,0.2324,0.2352,0.2521,0.2407,0.1364,0.0698,forest
0.0197,0.0212,0.0487,0.0346,0.099,0.2046,0.2324,0.2376,0.2521,0.2407,0.1364,0.0698,forest
0.0189,0.0214,0.0495,0.0372,0.093,0.1983,0.2308,0.2426,0.2495,0.2411,0.1307,0.0682,forest
0.0189,0.0192,0.0495,0.0346,0.093,0.1983,0.2308,0.2448,0.2495,0.2411,0.1307,0.0682,forest
0.0189,0.0196,0.0484,0.0312,0.0891,0.1918,0.2187,0.2434,0.2451,0.2411,0.1234,0.0639,forest
0.0189,0.0192,0.0476,0.0297,0.0891,0.1918,0.2187,0.2284,0.2451,0.2411,0.1234,0.0639,forest
0.0189,0.0201,0.0446,0.0318,0.0834,0.19,0.2083,0.2206,0.231,0.2411,0.1236,0.0652,forest
0.1041,0.106,0.1266,0.1532,0.2463,0.3036,0.3102,0.3024,0.3245,0.2886,0.3503,0.3212,building
0.1041,0.101,0.1362,0.18,0.2408,0.2762,0.2941,0.2874,0.2989,0.2886,0.3277,0.3036,building
0.1041,0.0778,0.0973,0.1096,0.2463,0.3036,0.3102,0.2986,0.3245,0.2886,0.3503,0.3212,building
0.1041,0.147,0.2092,0.196,0.2463,0.3036,0.3102,0.3052,0.3245,0.2886,0.3503,0.3212,building
0.1042,0.1224,0.1676,0.2172,0.2224,0.2815,0.292,0.2928,0.3066,0.2754,0.3203,0.2944,building
0.1042,0.0816,0.129,0.1704,0.2224,0.2815,0.292,0.3194,0.3066,0.2754,0.3203,0.2944,building
0.1042,0.0836,0.1068,0.1456,0.2073,0.2896,0.2959,0.2886,0.3042,0.2754,0.3176,0.2873,building
0.1042,0.13,0.155,0.2034,0.2073,0.2896,0.2959,0.292,0.3042,0.2754,0.3176,0.2873,building
0.1026,0.1368,0.1528,0.1946,0.2335,0.2677,0.3037,0.2836,0.2823,0.2866,0.3497,0.3437,building
0.1042,0.1096,0.1212,0.1774,0.2224,0.2815,0.292,0.2728,0.3066,0.2754,0.3203,0.2944,building
0.1042,0.0714,0.1112,0.1294,0.2224,0.2815,0.292,0.2946,0.3066,0.2754,0.3203,0.2944,building
0.1042,0.0627,0.0959,0.1476,0.2073,0.2896,0.2959,0.2618,0.3042,0.2754,0.3176,0.2873,building
0.1042,0.0789,0.1406,0.1858,0.2073,0.2896,0.2959,0.3096,0.3042,0.2754,0.3176,0.2873,building
0.1026,0.1214,0.1472,0.1864,0.2335,0.2677,0.3037,0.2732,0.2823,0.2866,0.3497,0.3437,building
0.1026,0.0974,0.1324,0.1948,0.2335,0.2677,0.3037,0.2382,0.2823,0.2866,0.3497,0.3437,building
0.1042,0.1042,0.1466,0.1908,0.2394,0.2673,0.2784,0.2698,0.2737,0.2754,0.3029,0.2942,building
0.1042,0.1252,0.141,0.2296,0.2101,0.2609,0.2705,0.2778,0.2763,0.2754,0.3066,0.2874,building
