B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,class
0.0824,0.0725,0.1036,0.1326,0.1724,0.2041,0.2242,0.2306,0.2535,0.2916,0.3187,0.2365,agri2
0.0714,0.0725,0.1058,0.1366,0.1658,0.1841,0.1931,0.2106,0.2202,0.2281,0.3173,0.2511,agri2
0.0714,0.0716,0.1074,0.1336,0.1658,0.1841,0.1931,0.217,0.2202,0.2281,0.3173,0.2511,agri2
0.0714,0.0727,0.1094,0.1378,0.1673,0.1862,0.2041,0.218,0.2228,0.2281,0.3231,0.2514,agri2
0.0714,0.073,0.1122,0.1422,0.1673,0.1862,0.2041,0.2286,0.2228,0.2281,0.3231,0.2514,agri2
0.0714,0.0781,0.1158,0.147,0.1714,0.1882,0.201,0.2254,0.2244,0.2281,0.3217,0.2521,agri2
0.0714,0.0823,0.118,0.1498,0.1714,0.1882,0.201,0.2072,0.2244,0.2281,0.3217,0.2521,agri2
0.0725,0.0759,0.1138,0.1446,0.1682,0.1946,0.2058,0.212,0.2272,0.2331,0.3177,0.2483,agri2
0.0725,0.0786,0.118,0.1494,0.1682,0.1946,0.2058,0.2064,0.2272,0.2331,0.3177,0.2483,agri2
0.0824,0.0714,0.1018,0.1258,0.1802,0.2095,0.2319,0.253,0.252,0.2916,0.3223,0.2377,agri2
0.0824,0.0816,0.1154,0.1456,0.1802,0.2095,0.2319,0.2402,0.252,0.2916,0.3223,0.2377,agri2
0.0714,0.0833,0.1182,0.1482,0.1901,0.2033,0.2217,0.2228,0.2408,0.2281,0.3243,0.2559,agri2
0.0714,0.0819,0.1194,0.151,0.1901,0.2033,0.2217,0.2264,0.2408,0.2281,0.3243,0.2559,agri2
0.0714,0.084,0.1226,0.1562,0.1938,0.211,0.2245,0.2324,0.2463,0.2281,0.3308,0.2583,agri2
0.0714,0.0902,0.1322,0.169,0.1938,0.211,0.2245,0.2396,0.2463,0.2281,0.3308,0.2583,agri2
0.0714,0.0926,0.131,0.1684,0.1887,0.1959,0.2078,0.227,0.2266,0.2281,0.3263,0.2606,agri2
0.0714,0.0861,0.1218,0.158,0.1887,0.1959,0.2078,0.1964,0.2266,0.2281,0.3263,0.2606,agri2
0.0725,0.0791,0.1206,0.1542,0.1747,0.1834,0.1941,0.1942,0.2163,0.2331,0.3219,0.2591,agri2
0.0725,0.0788,0.118,0.1534,0.1747,0.1834,0.1941,0.1932,0.2163,0.2331,0.3219,0.2591,agri2
0.0725,0.0816,0.1224,0.1512,0.1695,0.1766,0.1919,0.1936,0.209,0.2331,0.3164,0.2532,agri2
0.0824,0.0881,0.1284,0.1632,0.1922,0.2425,0.2582,0.248,0.2804,0.2916,0.326,0.238,agri2
0.0824,0.0922,0.1284,0.1626,0.1802,0.2095,0.2319,0.2362,0.252,0.2916,0.3223,0.2377,agri2
0.0824,0.0954,0.1284,0.1664,0.1802,0.2095,0.2319,0.2218,0.252,0.2916,0.3223,0.2377,agri2
0.0714,0.0919,0.1284,0.1648,0.1901,0.2033,0.2217,0.219,0.2408,0.2281,0.3243,0.2559,agri2
0.0714,0.0943,0.131,0.172,0.1901,0.2033,0.2217,0.2208,0.2408,0.2281,0.3243,0.2559,agri2
0.0714,0.0926,0.1332,0.172,0.1938,0.211,0.2245,0.2246,0.2463,0.2281,0.3308,0.2583,agri2
0.0714,0.094,0.1352,0.1732,0.1938,0.211,0.2245,0.2258,0.2463,0.2281,0.3308,0.2583,agri2
0.0782,0.0988,0.1428,0.1922,0.2354,0.2926,0.3179,0.3218,0.3531,0.3563,0.4165,0.2875,agri3
0.0782,0.096,0.1412,0.1852,0.2354,0.2926,0.3179,0.3216,0.3531,0.3563,0.4165,0.2875,agri3
0.0815,0.0984,0.1422,0.1936,0.2408,0.2939,0.3135,0.3222,0.3538,0.3541,0.4191,0.2875,agri3
0.0815,0.0954,0.1356,0.18,0.2408,0.2939,0.3135,0.3248,0.3538,0.3541,0.4191,0.2875,agri3
0.0815,0.1018,0.1434,0.1938,0.234,0.2871,0.3124,0.3186,0.3464,0.3541,0.4168,0.2934,agri3
0.0815,0.0992,0.1414,0.1866,0.2408,0.2939,0.3135,0.3232,0.3538,0.3541,0.4191,0.2875,agri3
0.0815,0.0984,0.1382,0.1856,0.2408,0.2939,0.3135,0.3238,0.3538,0.3541,0.4191,0.2875,agri3
0.0815,0.1026,0.1508,0.1996,0.2514,0.2974,0.3237,0.3296,0.3579,0.3541,0.4215,0.2894,agri3
0.0815,0.1018,0.1412,0.193,0.2349,0.2875,0.3138,0.319,0.3462,0.3541,0.4199,0.2951,agri3
0.0815,0.1001,0.1428,0.192,0.249,0.2955,0.3197,0.3316,0.3617,0.3541,0.4236,0.2884,agri3
0.0815,0.0983,0.1456,0.1968,0.249,0.2955,0.3197,0.3304,0.3617,0.3541,0.4236,0.2884,agri3
0.0815,0.105,0.1526,0.2098,0.2702,0.3047,0.3271,0.3356,0.3661,0.3541,0.4323,0.2997,agri3
0.0815,0.1116,0.1606,0.2242,0.2702,0.3047,0.3271,0.3382,0.3661,0.3541,0.4323,0.2997,agri3
0.0815,0.0998,0.1408,0.192,0.2349,0.2875,0.3138,0.3172,0.3462,0.3541,0.4199,0.2951,agri3
0.0815,0.1021,0.1404,0.1938,0.2349,0.2875,0.3138,0.3222,0.3462,0.3541,0.4199,0.2951,agri3
0.0815,0.0991,0.1456,0.1948,0.249,0.2955,0.3197,0.3286,0.3617,0.3541,0.4236,0.2884,agri3
0.0815,0.1021,0.1518,0.206,0.249,0.2955,0.3197,0.3306,0.3617,0.3541,0.4236,0.2884,agri3
0.0815,0.1132,0.1576,0.2198,0.2702,0.3047,0.3271,0.335,0.3661,0.3541,0.4323,0.2997,agri3
0.0815,0.1154,0.163,0.2264,0.2702,0.3047,0.3271,0.3362,0.3661,0.3541,0.4323,0.2997,agri3
0.0812,0.0988,0.138,0.1866,0.233,0.2911,0.3101,0.3196,0.3494,0.359,0.4174,0.2927,agri3
0.0815,0.0978,0.141,0.1912,0.2397,0.2916,0.3171,0.3212,0.3563,0.3541,0.4221,0.2934,agri3
0.0815,0.1016,0.1406,0.1908,0.2397,0.2916,0.3171,0.3266,0.3563,0.3541,0.4221,0.2934,agri3
0.0815,0.101,0.1454,0.2004,0.2596,0.2981,0.3269,0.3284,0.3625,0.3541,0.4296,0.2941,agri3
0.0815,0.1064,0.1548,0.2124,0.2596,0.2981,0.3269,0.3312,0.3625,0.3541,0.4296,0.2941,agri3
0.0815,0.113,0.1604,0.2264,0.2767,0.3058,0.3308,0.3366,0.3643,0.3541,0.4372,0.3092,agri3
0.0815,0.1148,0.1634,0.2328,0.2767,0.3058,0.3308,0.3384,0.3643,0.3541,0.4372,0.3092,agri3
0.0799,0.113,0.1646,0.2316,0.28,0.3063,0.3298,0.3374,0.3636,0.3623,0.4436,0.3124,agri3
0.0812,0.0987,0.138,0.191,0.233,0.2911,0.3101,0.3206,0.3494,0.359,0.4174,0.2927,agri3
0.0815,0.1004,0.1452,0.1942,0.2397,0.2916,0.3171,0.327,0.3563,0.3541,0.4221,0.2934,agri3
0.0815,0.102,0.1426,0.1954,0.2397,0.2916,0.3171,0.3264,0.3563,0.3541,0.4221,0.2934,agri3
0.0815,0.1058,0.1492,0.2094,0.2596,0.2981,0.3269,0.3348,0.3625,0.3541,0.4296,0.2941,agri3
0.0815,0.1102,0.1598,0.2236,0.2596,0.2981,0.3269,0.336,0.3625,0.3541,0.4296,0.2941,agri3
0.0815,0.116,0.1662,0.2304,0.2767,0.3058,0.3308,0.34,0.3643,0.3541,0.4372,0.3092,agri3
0.0815,0.1166,0.167,0.2348,0.2767,0.3058,0.3308,0.3344,0.3643,0.3541,0.4372,0.3092,agri3
0.0799,0.1126,0.1664,0.2334,0.28,0.3063,0.3298,0.3344,0.3636,0.3623,0.4436,0.3124,agri3
0.0799,0.1146,0.1618,0.232,0.28,0.3063,0.3298,0.3356,0.3636,0.3623,0.4436,0.3124,agri3
0.0807,0.1018,0.1406,0.1888,0.239,0.2901,0.313,0.3186,0.3503,0.3469,0.4247,0.2978,agri3
0.0807,0.1038,0.1422,0.1946,0.239,0.2901,0.313,0.3184,0.3503,0.3469,0.4247,0.2978,agri3
0.0826,0.1066,0.1466,0.1998,0.2537,0.2981,0.3254,0.3264,0.3571,0.3557,0.4291,0.2961,agri3
0.0826,0.1034,0.1484,0.2052,0.2537,0.2981,0.3254,0.3292,0.3571,0.3557,0.4291,0.2961,agri3
0.0826,0.1082,0.1568,0.2176,0.2728,0.3082,0.3311,0.3398,0.3629,0.3557,0.4377,0.3025,agri3
0.0826,0.1144,0.1644,0.2304,0.2728,0.3082,0.3311,0.3406,0.3629,0.3557,0.4377,0.3025,agri3
0.0826,0.1138,0.1624,0.2294,0.2822,0.3066,0.329,0.3348,0.3649,0.3557,0.4444,0.3141,agri3
0.0826,0.1178,0.1648,0.2336,0.2822,0.3066,0.329,0.336,0.3649,0.3557,0.4444,0.3141,agri3
0.0797,0.1152,0.1614,0.2306,0.274,0.3039,0.3259,0.3344,0.3622,0.3501,0.4428,0.3127,agri3
0.0797,0.11,0.1622,0.2316,0.274,0.3039,0.3259,0.3306,0.3622,0.3501,0.4428,0.3127,agri3
0.0807,0.1032,0.1396,0.1944,0.239,0.2901,0.313,0.3184,0.3503,0.3469,0.4247,0.2978,agri3
0.0807,0.1052,0.1458,0.1982,0.239,0.2901,0.313,0.3252,0.3503,0.3469,0.4247,0.2978,agri3
0.0826,0.1088,0.1532,0.2058,0.2537,0.2981,0.3254,0.3308,0.3571,0.3557,0.4291,0.2961,agri3
0.0826,0.106,0.1542,0.212,0.2537,0.2981,0.3254,0.334,0.3571,0.3557,0.4291,0.2961,agri3
